seq,timestamp,width,height,frame_id,filename
9564,1475186965602401049,640,480,left_camera,left/1475186965602401049.jpg
8041,1475186965609972775,640,480,center_camera,center/1475186965609972775.jpg
9162,1475186965630938502,640,480,right_camera,right/1475186965630938502.jpg
9565,1475186965652132892,640,480,left_camera,left/1475186965652132892.jpg
8042,1475186965659735933,640,480,center_camera,center/1475186965659735933.jpg
9163,1475186965680984870,640,480,right_camera,right/1475186965680984870.jpg
9566,1475186965702318175,640,480,left_camera,left/1475186965702318175.jpg
8043,1475186965709975321,640,480,center_camera,center/1475186965709975321.jpg
9164,1475186965730856517,640,480,right_camera,right/1475186965730856517.jpg
9567,1475186965752156948,640,480,left_camera,left/1475186965752156948.jpg
8044,1475186965759787059,640,480,center_camera,center/1475186965759787059.jpg
9165,1475186965781003824,640,480,right_camera,right/1475186965781003824.jpg
9568,1475186965802399251,640,480,left_camera,left/1475186965802399251.jpg
8045,1475186965809874186,640,480,center_camera,center/1475186965809874186.jpg
9166,1475186965830821152,640,480,right_camera,right/1475186965830821152.jpg
9569,1475186965852198159,640,480,left_camera,left/1475186965852198159.jpg
8046,1475186965859775341,640,480,center_camera,center/1475186965859775341.jpg
9167,1475186965881059867,640,480,right_camera,right/1475186965881059867.jpg
9570,1475186965902346020,640,480,left_camera,left/1475186965902346020.jpg
8047,1475186965909878065,640,480,center_camera,center/1475186965909878065.jpg
9168,1475186965930882339,640,480,right_camera,right/1475186965930882339.jpg
9571,1475186965952185491,640,480,left_camera,left/1475186965952185491.jpg
8048,1475186965959781540,640,480,center_camera,center/1475186965959781540.jpg
9169,1475186965981087408,640,480,right_camera,right/1475186965981087408.jpg
9572,1475186966002421064,640,480,left_camera,left/1475186966002421064.jpg
8049,1475186966009852188,640,480,center_camera,center/1475186966009852188.jpg
9170,1475186966030890140,640,480,right_camera,right/1475186966030890140.jpg
9573,1475186966052175321,640,480,left_camera,left/1475186966052175321.jpg
8050,1475186966059905256,640,480,center_camera,center/1475186966059905256.jpg
9171,1475186966081082743,640,480,right_camera,right/1475186966081082743.jpg
9574,1475186966102401236,640,480,left_camera,left/1475186966102401236.jpg
8051,1475186966109864321,640,480,center_camera,center/1475186966109864321.jpg
9172,1475186966131030082,640,480,right_camera,right/1475186966131030082.jpg
9575,1475186966152147867,640,480,left_camera,left/1475186966152147867.jpg
8052,1475186966159774140,640,480,center_camera,center/1475186966159774140.jpg
9173,1475186966181075079,640,480,right_camera,right/1475186966181075079.jpg
9576,1475186966202305668,640,480,left_camera,left/1475186966202305668.jpg
8053,1475186966209928052,640,480,center_camera,center/1475186966209928052.jpg
9174,1475186966230826735,640,480,right_camera,right/1475186966230826735.jpg
9577,1475186966252234820,640,480,left_camera,left/1475186966252234820.jpg
8054,1475186966259785746,640,480,center_camera,center/1475186966259785746.jpg
9175,1475186966281083392,640,480,right_camera,right/1475186966281083392.jpg
9578,1475186966302376595,640,480,left_camera,left/1475186966302376595.jpg
8055,1475186966309912024,640,480,center_camera,center/1475186966309912024.jpg
9176,1475186966330882264,640,480,right_camera,right/1475186966330882264.jpg
9579,1475186966352190917,640,480,left_camera,left/1475186966352190917.jpg
8056,1475186966359857721,640,480,center_camera,center/1475186966359857721.jpg
9177,1475186966381025300,640,480,right_camera,right/1475186966381025300.jpg
9580,1475186966402422924,640,480,left_camera,left/1475186966402422924.jpg
8057,1475186966409906431,640,480,center_camera,center/1475186966409906431.jpg
9178,1475186966431031860,640,480,right_camera,right/1475186966431031860.jpg
9581,1475186966452205962,640,480,left_camera,left/1475186966452205962.jpg
8058,1475186966459861222,640,480,center_camera,center/1475186966459861222.jpg
9179,1475186966481065484,640,480,right_camera,right/1475186966481065484.jpg
9582,1475186966502411463,640,480,left_camera,left/1475186966502411463.jpg
8059,1475186966510149714,640,480,center_camera,center/1475186966510149714.jpg
9180,1475186966531028052,640,480,right_camera,right/1475186966531028052.jpg
9583,1475186966552251039,640,480,left_camera,left/1475186966552251039.jpg
8060,1475186966559857993,640,480,center_camera,center/1475186966559857993.jpg
9181,1475186966581065114,640,480,right_camera,right/1475186966581065114.jpg
9584,1475186966602365001,640,480,left_camera,left/1475186966602365001.jpg
8061,1475186966609945328,640,480,center_camera,center/1475186966609945328.jpg
9182,1475186966631039503,640,480,right_camera,right/1475186966631039503.jpg
9585,1475186966652306015,640,480,left_camera,left/1475186966652306015.jpg
8062,1475186966660074821,640,480,center_camera,center/1475186966660074821.jpg
9183,1475186966680965771,640,480,right_camera,right/1475186966680965771.jpg
9586,1475186966702263577,640,480,left_camera,left/1475186966702263577.jpg
8063,1475186966710124806,640,480,center_camera,center/1475186966710124806.jpg
9184,1475186966731002201,640,480,right_camera,right/1475186966731002201.jpg
9587,1475186966752244346,640,480,left_camera,left/1475186966752244346.jpg
8064,1475186966760057819,640,480,center_camera,center/1475186966760057819.jpg
9185,1475186966781047637,640,480,right_camera,right/1475186966781047637.jpg
9588,1475186966802346102,640,480,left_camera,left/1475186966802346102.jpg
8065,1475186966810010006,640,480,center_camera,center/1475186966810010006.jpg
9186,1475186966831058152,640,480,right_camera,right/1475186966831058152.jpg
9589,1475186966852570315,640,480,left_camera,left/1475186966852570315.jpg
8066,1475186966860151539,640,480,center_camera,center/1475186966860151539.jpg
9187,1475186966881024189,640,480,right_camera,right/1475186966881024189.jpg
9590,1475186966902299248,640,480,left_camera,left/1475186966902299248.jpg
8067,1475186966910055174,640,480,center_camera,center/1475186966910055174.jpg
9188,1475186966931208087,640,480,right_camera,right/1475186966931208087.jpg
9591,1475186966952206737,640,480,left_camera,left/1475186966952206737.jpg
8068,1475186966959988408,640,480,center_camera,center/1475186966959988408.jpg
9189,1475186966980999737,640,480,right_camera,right/1475186966980999737.jpg
9592,1475186967002342645,640,480,left_camera,left/1475186967002342645.jpg
8069,1475186967010156471,640,480,center_camera,center/1475186967010156471.jpg
9190,1475186967030999238,640,480,right_camera,right/1475186967030999238.jpg
9593,1475186967052339667,640,480,left_camera,left/1475186967052339667.jpg
8070,1475186967059933326,640,480,center_camera,center/1475186967059933326.jpg
9191,1475186967081387930,640,480,right_camera,right/1475186967081387930.jpg
9594,1475186967102266936,640,480,left_camera,left/1475186967102266936.jpg
